,UserInfo_2,UserInfo_4,UserInfo_7,UserInfo_8,UserInfo_19,UserInfo_20,UserInfo_24,target
148,北海,北海,广西,北海,山西省,不详,D,0
149,鸡西,佳木斯,黑龙江,哈尔滨,内蒙古自治区,不详,D,0
150,洛阳,洛阳,河南,洛阳市,河南省,洛阳市,D,0
151,襄阳,襄樊,湖北,襄阳市,湖北省,襄阳市,D,0
152,平顶山,平顶山,河南,平顶山,河南省,平顶山市,D,0
153,泰安,上海,不详,不详,山东省,泰安市,D,0
154,扬州,扬州,江苏,扬州,江苏省,镇江市,D,0
155,新乡,新乡,河南,新乡,河南省,新乡市,D,0
156,潍坊,北京,北京,北京,山东省,潍坊市,D,0
157,温州,上海,浙江,温州,浙江省,温州市,D,0
158,海口,金华,海南,海口,广东省,广州市,D,0
159,西安,西安,陕西,西安,陕西省,西安市,D,0
160,焦作,焦作,河南,焦作,河南省,焦作市,D,1
161,唐山,唐山,不详,不详,河北省,唐山市,D,0
162,梅州,梅州,广东,梅州,广东省,梅州市,D,0
163,绍兴,绍兴,浙江,绍兴市,浙江省,不详,D,0
164,肇庆,肇庆,不详,不详,广东省,肇庆市,D,0
165,济宁,济宁,山东,济宁,山东省,济宁市,D,0
166,新乡,新乡,河南,新乡,河南省,新乡市,D,0
167,阳泉,阳泉,山西,阳泉,山西省,阳泉市,D,0
168,阜阳,芜湖,安徽,芜湖,安徽省,阜阳市,D,1
169,岳阳,岳阳,湖南,岳阳,湖南省,岳阳市,D,0
170,鞍山,鞍山,辽宁,鞍山,辽宁省,鞍山市,辽宁省鞍山市海城市,0
171,福州,泉州,福建,三明,福建省,三明市,D,0
172,东莞,,广东,东莞,广东省,东莞市,D,1
173,大连,大连,辽宁,大连,辽宁省,大连市,D,0
174,漳州,临沂,浙江,杭州,山东省,临沂市,D,0
175,永州,永州,湖南,永州,湖南省,不详,D,1
176,东莞,肇庆,广东,肇庆,广东省,肇庆市,D,0
177,宿州,渭南,安徽,宿州,陕西省,渭南市,陕西省渭南市华县,0
178,重庆,重庆,重庆,重庆市,重庆市,重庆市,D,0
179,温州,温州,浙江,温州市,浙江省,温州市,D,0
180,合肥,合肥,安徽,合肥,安徽省,合肥市,D,0
181,杭州,绍兴,浙江,绍兴,浙江省,绍兴市,D,0
182,哈尔滨,哈尔滨,黑龙江,哈尔滨,黑龙江省,哈尔滨市,D,0
183,杭州,嘉兴,浙江,杭州,浙江省,嘉兴市,D,0
184,济宁,济宁,山东,济宁,山东省,济宁市,D,0
185,平顶山,郑州,河南,平顶山市,河南省,平顶山市,D,0
186,深圳,深圳,广东,深圳,陕西省,不详,D,0
187,温州,温州,浙江,温州,浙江省,温州市,D,0
188,厦门,厦门,福建,厦门,福建省,厦门市,D,0
189,郑州,郑州,河南,郑州,河南省,新乡市,D,0
190,郑州,开封,河南,郑州,河南省,开封市,D,0
191,南阳,南阳,河南,南阳,河南省,南阳市,D,0
192,赣州,赣州,江西,赣州,江西省,不详,D,0
193,深圳,中山,广东,中山,陕西省,不详,D,1
194,绍兴,绍兴,浙江,绍兴,浙江省,绍兴市,D,0
195,长沙,长沙,湖南,长沙,湖南省,长沙市,D,0
196,济南,伊春,内蒙古,鄂尔多斯市,山东省,日照市,D,0
197,泰州,苏州,江苏,无锡,江苏省,泰州市,D,0
198,绥化,北京,北京,北京,黑龙江省,不详,D,0
199,恩施,,湖北,恩施,湖北省,恩施土家族苗族自治州,D,0
200,泉州,武汉,福建,泉州,湖北省,荆州市,湖北省荆州市监利县,0
201,蚌埠,上海,不详,不详,安徽省,蚌埠市,D,1
202,赣州,赣州,江西,赣州,江西省,赣州市,D,0
203,河源,河源,广东,河源,广东省,河源市,D,0
204,邵阳,广州,湖南,邵阳市,湖北省,襄阳市,D,0
205,渭南,深圳,山西,晋城,陕西省,渭南市,D,0
206,银川,银川,宁夏,银川,宁夏回族自治区,银川市,D,1
207,成都,乐山,四川,成都,四川省,乐山市,D,0
208,南京,南通,江苏,南通,江苏省,南通市,D,0
209,哈尔滨,哈尔滨,黑龙江,哈尔滨,黑龙江省,哈尔滨市,D,0
210,榆林,榆林,陕西,榆林,陕西省,不详,D,0
211,武汉,黄冈,湖北,黄冈市,湖北省,不详,D,0
212,包头,唐山,不详,不详,内蒙古自治区,不详,D,0
213,长沙,长沙,湖南,长沙,湖南省,长沙市,D,0
214,北京,南阳,河南,南阳,河南省,不详,D,0
215,保定,保定,河北,保定,河北省,保定市,D,1
216,连云港,连云港,江苏,连云港市,江苏省,连云港市,D,0
217,韶关,佛山,广东,佛山,广东省,韶关市,D,0
218,南平,南平,福建,南平,福建省,莆田市,福建省南平市邵武市,0
219,九江,南昌,江西,南昌市,江西省,九江市,D,0
220,广州,广州,广东,广州,湖南省,邵阳市,D,0
221,白银,兰州,甘肃,白银,甘肃省,白银市,D,0
222,赣州,深圳,广东,深圳,江西省,不详,D,0
223,大连,北京,辽宁,大连市,辽宁省,大连市,D,1
224,镇江,镇江,江苏,镇江市,江苏省,镇江市,D,0
225,榆林,榆林,不详,不详,陕西省,不详,D,0
226,成都,成都,四川,成都,四川省,自贡市,D,0
227,黑河,黑河,黑龙江,黑河,黑龙江省,黑河市,D,0
228,金华,金华,浙江,金华,江西省,不详,D,1
229,广元,广元,四川,广元,四川省,广元市,D,0
230,菏泽,菏泽,山东,菏泽,山东省,不详,D,1
231,阳江,深圳,广东,阳江,广东省,阳江市,D,0
232,韶关,贵阳,广东,佛山,广东省,韶关市,D,0
233,日照,日照,山东,日照,山东省,日照市,D,0
234,台州,芜湖,浙江,台州市,浙江省,台州市,D,0
235,营口,营口,不详,不详,辽宁省,营口市,D,0
236,鄂尔多斯,鄂尔多斯,内蒙古,鄂尔多斯市,内蒙古自治区,不详,D,0
237,石家庄,石家庄,河北,石家庄,河北省,石家庄市,河北省石家庄市栾城县,0
238,沈阳,沈阳,辽宁,沈阳,辽宁省,沈阳市,D,0
239,广州,广州,广东,广州,广东省,揭阳市,D,0
240,鞍山,鞍山,辽宁,鞍山,辽宁省,鞍山市,D,0
241,常德,常德,湖南,常德,湖南省,常德市,湖南省常德市汉寿县,0
242,烟台,烟台,山东,烟台,山东省,济宁市,D,0
243,武汉,武汉,湖北,武汉,湖北省,武汉市,D,0
244,梅州,梅州,不详,不详,广东省,汕头市,D,0
245,上海,上海,不详,不详,山东省,不详,D,0
246,深圳,深圳,广东,深圳,广东省,深圳市,D,1
247,沈阳,沈阳,广西,钦州,黑龙江省,不详,D,0
248,北京,北京,不详,不详,河南省,信阳市,D,0
249,菏泽,菏泽,山东,菏泽,山东省,不详,D,0
250,东莞,东莞,广东,东莞,广东省,汕尾市,D,1
251,济南,济南,山东,济南,山东省,济南市,D,0
252,合肥,合肥,安徽,合肥,安徽省,合肥市,D,0
253,兰州,兰州,甘肃,兰州,甘肃省,不详,D,0
254,韶关,韶关,广东,韶关,广东省,韶关市,D,0
255,深圳,深圳,广东,东莞,湖南省,邵阳市,D,0
256,南京,南京,江苏,南京,江苏省,南京市,江苏省南京市六合区,1
257,常州,常州,江苏,常州,江苏省,常州市,D,0
258,台州,台州,浙江,台州,浙江省,台州市,D,0
259,中山,佛山,广东,佛山,广东省,佛山市,D,0
260,中山,中山,广东,中山,广东省,不详,D,0
261,温州,温州,浙江,温州,浙江省,温州市,D,0
262,白山,白山,吉林,白山,吉林省,白山市,D,0
263,温州,温州,浙江,温州,浙江省,温州市,D,0
264,北京,贵阳,贵州,贵阳,贵州省,黔南布依族苗族自治州,D,0
265,苏州,盐城,江苏,苏州,江苏省,盐城市,D,1
266,周口,周口,不详,不详,河南省,不详,D,0
267,温州,东莞,广东,东莞,江西省,赣州市,D,0
268,临沂,临沂,山东,临沂市,山东省,临沂市,D,0
269,太原,太原,山西,太原,山西省,太原市,D,0
270,温州,温州,浙江,温州,浙江省,温州市,D,0
271,南阳,南阳,河南,南阳,河南省,南阳市,D,0
272,聊城,聊城,山东,聊城,山东省,聊城市,山东省聊城市东阿县,0
273,广州,广州,广东,广州,广东省,广州市,D,0
274,宁德,宁德,福建,宁德,福建省,不详,D,0
275,台州,台州,浙江,台州,浙江省,台州市,D,0
276,成都,成都,四川,成都,四川省,成都市,D,0
277,绍兴,绍兴,浙江,绍兴,浙江省,绍兴市,D,0
278,周口,周口,河南,周口,河南省,不详,D,0
279,龙岩,龙岩,福建,龙岩,福建省,漳州市,D,0
280,大同,大同,山西,大同,山西省,大同市,D,0
281,贵阳,贵阳,贵州,贵阳,贵州省,贵阳市,D,0
282,韶关,韶关,广东,广州,广东省,韶关市,D,0
283,大庆,哈尔滨,黑龙江,绥化市,黑龙江省,不详,黑龙江省绥化市北林区,0
284,杭州,杭州,浙江,杭州,浙江省,绍兴市,D,0
285,南宁,深圳,广东,深圳,广西壮族自治区,不详,D,0
286,泉州,三明,福建,三明,福建省,三明市,D,0
287,韶关,东莞,广东,韶关,广东省,韶关市,D,0
288,深圳,深圳,广东,深圳,湖南省,益阳市,D,0
289,固原,固原,宁夏,固原,宁夏回族自治区,不详,D,0
290,福州,福州,不详,不详,福建省,福州市,D,0
291,太原,太原,山西,太原,山西省,不详,D,0
292,保定,保定,河北,保定,河北省,保定市,D,0
293,阜阳,北京,不详,不详,安徽省,阜阳市,D,0
294,宿迁,宿迁,江苏,宿迁,江苏省,宿迁市,D,0
295,德阳,德阳,四川,德阳,四川省,德阳市,D,0
296,扬州,扬州,江苏,扬州,江苏省,扬州市,D,0
297,温州,温州,浙江,温州,浙江省,衢州市,D,0
298,东莞,东莞,广东,东莞,四川省,不详,D,0
299,来宾,娄底,广西,来宾,广西壮族自治区,不详,D,0
300,郴州,郴州,湖南,郴州,湖南省,郴州市,湖南省郴州市永兴县,0
301,保定,保定,河北,保定,河北省,不详,D,0
302,上海,宁波,上海,上海市,上海市,上海市,D,0
303,宜宾,宜宾,不详,不详,四川省,不详,D,0
304,宜宾,宜宾,四川,宜宾市,四川省,宜宾市,D,1
305,随州,随州,湖北,随州,湖北省,随州市,D,0
306,广州,广州,广东,广州,广东省,广州市,D,0
307,运城,运城,山西,运城,山西省,不详,D,0
308,兰州,兰州,青海,海东,甘肃省,兰州市,D,0
309,上海,上海,不详,不详,安徽省,阜阳市,D,0
310,合肥,合肥,安徽,芜湖,安徽省,不详,D,0
311,营口,营口,辽宁,营口市,吉林省,白山市,D,1
312,苏州,苏州,江苏,苏州市,安徽省,阜阳市,D,0
313,衢州,衢州,浙江,衢州,浙江省,衢州市,D,0
314,重庆,德宏傣族景颇族自治州,不详,不详,云南省,不详,D,1
315,嘉兴,嘉兴,浙江,嘉兴,浙江省,嘉兴市,D,0
316,淄博,济南,山东,济南,山东省,淄博市,D,0
317,无锡,无锡,江苏,无锡,江苏省,无锡市,D,0
318,北海,北海,广西,北海,北京市,不详,D,0
319,郑州,郑州,河南,郑州,河南省,平顶山市,D,0
320,宜宾,宜宾,四川,宜宾,四川省,宜宾市,D,0
321,温州,宁波,浙江,宁波,浙江省,温州市,浙江省温州市洞头县,0
322,黔东南,黔东南,贵州,凯里,贵州省,黔东南苗族侗族自治州,D,0
323,苏州,苏州,江苏,苏州,江苏省,泰州市,D,0
324,襄樊,武汉,广东,韶关,湖北省,十堰市,D,0
325,荆州,深圳,广东,深圳,湖北省,荆州市,D,0
326,河源,河源,广东,河源,广东省,河源市,D,0
327,邯郸,邯郸,不详,不详,河北省,邯郸市,D,0
328,邯郸,邯郸,河北,邯郸,河北省,邯郸市,D,0
329,营口,大连,辽宁,营口,辽宁省,沈阳市,D,0
330,南宁,南宁,广西,南宁,广西壮族自治区,南宁市,D,0
331,泉州,泉州,福建,泉州,福建省,泉州市,D,0
332,邢台,邢台,不详,不详,河北省,邢台市,D,0
333,郑州,三门峡,河南,三门峡,河南省,三门峡市,D,1
334,赣州,梅州,广东,梅州市,江西省,赣州市,D,0
335,丹东,丹东,辽宁,丹东,辽宁省,丹东市,辽宁省丹东市振兴区,0
336,,玉溪,不详,不详,云南省,大理白族自治州,D,0
337,泰州,泰州,江苏,泰州,江苏省,泰州市,D,0
338,永州,永州,湖南,郴州,湖南省,不详,D,0
339,长沙,长沙,湖南,长沙,湖南省,长沙市,D,0
340,漳州,漳州,福建,漳州,福建省,漳州市,D,0
341,鸡西,鸡西,黑龙江,鸡西,黑龙江省,鸡西市,D,1
342,广州,东莞,广东,东莞,广东省,东莞市,D,0
343,玉林,玉林,广西,贵港市、玉林市,广西壮族自治区,不详,广西壮族自治区玉林市玉州区,0
344,清远,清远,广东,清远,广东省,清远市,D,0
345,南充,兰州,甘肃,兰州,四川省,南充市,D,0
346,厦门,厦门,福建,厦门,福建省,不详,D,0
347,唐山,张家口,河北,唐山,河北省,唐山市,D,0
348,济宁,济宁,山东,济宁,山东省,济宁市,山东省济宁市市中区,0
349,南阳,南阳,河南,南阳,河南省,南阳市,河南省南阳市宛城区,0
350,莆田,莆田,福建,莆田,福建省,莆田市,D,0
351,安庆,温州,浙江,温州,安徽省,安庆市,D,0
352,上海,上海,不详,不详,湖南省,湘西土家族苗族自治州,D,0
353,嘉兴,嘉兴,浙江,嘉兴,浙江省,嘉兴市,D,0
354,吉安,东莞,广东,广州,江西省,不详,D,0
355,金华,汕头,浙江,金华,广东省,汕头市,D,0
356,深圳,深圳,广东,深圳,湖北省,咸宁市,D,0
357,太原,太原,山西,太原,山西省,不详,D,0
358,大同,大同,山西,大同,山西省,大同市,D,0
359,广州,广州,广东,广州,广东省,广州市,D,1
360,乌鲁木齐,乌鲁木齐,新疆,乌鲁木齐,新疆维吾尔自治区,塔城地区,D,0
361,伊犁哈萨克自治州,伊犁哈萨克自治州,新疆,伊犁,新疆维吾尔自治区,不详,D,0
362,烟台,青岛,北京,北京,黑龙江省,鸡西市,D,1
363,广州,深圳,广东,广州,广东省,广州市,D,0
364,重庆,重庆,重庆,重庆,重庆市,重庆市,D,0
365,北京,北京,北京,北京,北京市,不详,D,0
366,玉溪,玉溪,云南,玉溪,云南省,玉溪市,D,0
367,榆林,西安,陕西,西安,黑龙江省,佳木斯市,D,0
368,日照,日照,山东,日照市,山东省,不详,D,0
369,昆明,昆明,云南,昆明,云南省,昆明市,D,0
370,常州,常州,江苏,常州,江苏省,常州市,D,0
371,南宁,南宁,广西,南宁,广西壮族自治区,南宁市,D,0
372,晋中,晋中,不详,不详,山西省,晋中市,D,0
373,台州,台州,浙江,台州,浙江省,不详,D,0
374,南京,南通,云南,昆明,江苏省,南通市,D,0
375,白银,深圳,广东,深圳,甘肃省,白银市,D,0
376,乌海,乌海,不详,不详,内蒙古自治区,乌海市,D,1
377,佛山,深圳,广东,深圳,广东省,梅州市,D,0
378,莆田,莆田,福建,莆田,福建省,莆田市,D,0
379,绍兴,绍兴,浙江,绍兴,浙江省,绍兴市,D,1
380,定西,定西,甘肃,定西,甘肃省,不详,D,0
381,德宏傣族景颇族自治州,德宏傣族景颇族自治州,云南,德宏傣族景颇族自治州,云南省,德宏傣族景颇族自治州,D,1
382,郴州,郴州,不详,不详,河南省,不详,D,0
383,遵义,重庆,不详,不详,贵州省,不详,D,1
384,昆明,昆明,云南,昆明市,河北省,不详,D,0
385,唐山,唐山,河北,唐山,河北省,唐山市,D,1
386,上海,上海,不详,不详,上海市,不详,上海市青浦区,0
387,临沂,临沂,山东,临沂,山东省,不详,D,0
388,北京,哈尔滨,北京,北京,黑龙江省,哈尔滨市,D,0
389,徐州,徐州,江苏,徐州,江苏省,徐州市,D,0
390,阳江,成都,广东,阳江,广东省,阳江市,D,0
391,上海,开封,河南,郑州,河南省,开封市,D,0
392,成都,成都,四川,成都,四川省,不详,D,0
393,莆田,福州,福建,福州,福建省,莆田市,D,0
394,连云港,连云港,江苏,连云港,江苏省,连云港市,D,0
395,银川,丽江,北京,北京,宁夏回族自治区,不详,D,0
396,嘉兴,嘉兴,浙江,嘉兴市,四川省,不详,D,0
397,南宁,防城港,广西,南宁,广西壮族自治区,防城港市,D,0
398,北海,深圳,广西,北海,广西壮族自治区,北海市,D,0
399,深圳,深圳,不详,不详,湖北省,荆州市,D,0
400,淮安,淮安,不详,不详,江苏省,淮安市,D,0
401,益阳,益阳,湖南,益阳,湖南省,益阳市,D,0
402,东营,东营,山东,东营,山东省,不详,D,0
403,百色,南宁,广西,南宁,广西壮族自治区,不详,D,0
404,岳阳,岳阳,湖南,岳阳,湖南省,岳阳市,D,0
405,泰安,,湖北,武汉,山东省,泰安市,D,0
406,巢湖,合肥,安徽,合肥,安徽省,不详,D,0
407,梅州,梅州,广东,梅州,广东省,梅州市,D,0
408,衢州,宁波,浙江,衢州,浙江省,衢州市,D,0
409,厦门,泉州,福建,厦门,福建省,漳州市,D,0
410,金华,金华,浙江,金华,广西壮族自治区,不详,D,0
411,宁德,宁德,不详,不详,福建省,不详,D,1
412,银川,银川,宁夏,银川市,福建省,三明市,D,0
413,怀化,广州,广东,广州,湖南省,怀化市,D,0
414,漳州,漳州,福建,漳州,福建省,漳州市,D,0
415,焦作,焦作,河南,焦作,河南省,焦作市,D,0
416,南充,南充,四川,南充,四川省,不详,D,0
417,咸阳,咸阳,陕西,西安,陕西省,咸阳市,D,0
418,邵阳,邵阳,不详,不详,湖南省,邵阳市,D,0
419,揭阳,揭阳,广东,揭阳,广东省,揭阳市,D,0
420,大庆,北京,北京,北京,黑龙江省,大庆市,D,0
421,广州,广州,广东,广州,福建省,不详,D,0
422,宜昌,宜昌,不详,不详,湖北省,宜昌市,D,0
423,襄樊,襄阳,湖北,襄阳,湖北省,襄阳市,D,0
424,惠州,湖州,浙江,湖州,浙江省,湖州市,D,0
425,镇江,镇江,江苏,南京,江苏省,镇江市,D,0
426,玉林,玉林,广西,玉林,广西壮族自治区,不详,D,0
427,广州,广州,广东,广州,湖南省,郴州市,D,0
428,汕尾,汕尾,广东,汕尾,广东省,汕尾市,D,0
429,临沂,临沂,不详,不详,山东省,临沂市,山东省临沂市蒙阴县,0
430,温州,温州,浙江,温州,浙江省,温州市,D,0
431,广州,赣州,广东,广州,江西省,赣州市,江西省赣州市寻乌县,0
432,中山,中山,广东,中山,湖南省,衡阳市,D,0
433,临汾,临汾,山西,临汾,山西省,不详,D,0
